"country","year","sex","age","num_suicides","population","suicides_100k","key","gdp","gdp_per_capita","generation","region"
"Argentina",2002,"male","75+",234,566447,41.31,"Argentina2002",97724004252,2840,"Silent","Latin America & Caribbean"
"Argentina",2002,"male","55-74",615,2387478,25.76,"Argentina2002",97724004252,2840,"Silent","Latin America & Caribbean"
"Argentina",2002,"male","15-24",542,3331708,16.27,"Argentina2002",97724004252,2840,"Millenials","Latin America & Caribbean"
"Argentina",2002,"male","25-34",412,2758283,14.94,"Argentina2002",97724004252,2840,"Generation X","Latin America & Caribbean"
"Argentina",2002,"male","35-54",619,4191889,14.77,"Argentina2002",97724004252,2840,"Boomers","Latin America & Caribbean"
"Argentina",2002,"female","55-74",179,2819507,6.35,"Argentina2002",97724004252,2840,"Silent","Latin America & Caribbean"
"Argentina",2002,"female","75+",58,1012399,5.73,"Argentina2002",97724004252,2840,"Silent","Latin America & Caribbean"
"Argentina",2002,"female","15-24",158,3263542,4.84,"Argentina2002",97724004252,2840,"Millenials","Latin America & Caribbean"
"Argentina",2002,"female","35-54",194,4355651,4.45,"Argentina2002",97724004252,2840,"Boomers","Latin America & Caribbean"
"Argentina",2002,"female","25-34",91,2772560,3.28,"Argentina2002",97724004252,2840,"Generation X","Latin America & Caribbean"
"Argentina",2002,"male","5-14",37,3529201,1.05,"Argentina2002",97724004252,2840,"Millenials","Latin America & Caribbean"
"Argentina",2002,"female","5-14",23,3418842,0.67,"Argentina2002",97724004252,2840,"Millenials","Latin America & Caribbean"
"Argentina",2003,"male","75+",272,581842,46.75,"Argentina2003",127586973492,3668,"Silent","Latin America & Caribbean"
"Argentina",2003,"male","55-74",577,2420864,23.83,"Argentina2003",127586973492,3668,"Silent","Latin America & Caribbean"
"Argentina",2003,"male","15-24",638,3331226,19.15,"Argentina2003",127586973492,3668,"Millenials","Latin America & Caribbean"
"Argentina",2003,"male","25-34",456,2845955,16.02,"Argentina2003",127586973492,3668,"Generation X","Latin America & Caribbean"
"Argentina",2003,"male","35-54",625,4237124,14.75,"Argentina2003",127586973492,3668,"Boomers","Latin America & Caribbean"
"Argentina",2003,"female","75+",68,1044188,6.51,"Argentina2003",127586973492,3668,"Silent","Latin America & Caribbean"
"Argentina",2003,"female","15-24",179,3258029,5.49,"Argentina2003",127586973492,3668,"Millenials","Latin America & Caribbean"
"Argentina",2003,"female","55-74",147,2854473,5.15,"Argentina2003",127586973492,3668,"Silent","Latin America & Caribbean"
"Argentina",2003,"female","35-54",196,4402438,4.45,"Argentina2003",127586973492,3668,"Boomers","Latin America & Caribbean"
"Argentina",2003,"female","25-34",69,2859003,2.41,"Argentina2003",127586973492,3668,"Generation X","Latin America & Caribbean"
"Argentina",2003,"male","5-14",37,3531507,1.05,"Argentina2003",127586973492,3668,"Millenials","Latin America & Caribbean"
"Argentina",2003,"female","5-14",25,3419258,0.73,"Argentina2003",127586973492,3668,"Millenials","Latin America & Caribbean"
"Argentina",2004,"male","75+",227,593409,38.25,"Argentina2004",164657930453,4683,"Silent","Latin America & Caribbean"
